Match_no,Match_Between,Bowling_Team,Bowler_Name,Overs,Maidens,Runs,Wickets,Economy
9,Afghanistan vs India,India,Hardik Pandya,7,0,43,2,6.14
9,Afghanistan vs India,India,Shardul Thakur,6,0,31,1,5.17
9,Afghanistan vs India,India,Kuldeep Yadav,10,0,40,1,4
9,Afghanistan vs India,India,Ravindra Jadeja,8,0,38,0,4.75
9,Afghanistan vs India,Afghanistan,Fazalhaq Farooqi,6,0,50,0,8.333
9,Afghanistan vs India,Afghanistan,Mujeeb Ur Rahman,8,0,64,0,8
9,Afghanistan vs India,Afghanistan,Naveen-ul-Haq,5,0,31,0,6.2
9,Afghanistan vs India,Afghanistan,Azmatullah Omarzai,4,0,34,0,8.5
9,Afghanistan vs India,Afghanistan,Mohammad Nabi,4,0,32,0,8
9,Afghanistan vs India,Afghanistan,Rashid Khan,8,0,57,2,7.125
10,South Africa vs Australia,Australia,Mitchell Starc,9,1,53,2,5.889
10,South Africa vs Australia,Australia,Josh Hazlewood,9,0,60,1,6.667
10,South Africa vs Australia,Australia,Glenn Maxwell,10,1,34,2,3.4
10,South Africa vs Australia,Australia,Pat Cummins,9,0,71,1,7.889
10,South Africa vs Australia,Australia,Adam Zampa,10,0,70,1,7
10,South Africa vs Australia,Australia,Mitchell Marsh,1,0,6,0,6
10,South Africa vs Australia,Australia,Marcus Stoinis,2,0,11,0,5.5
10,South Africa vs Australia,South Africa,Lungi Ngidi,8,2,18,1,2.25
10,South Africa vs Australia,South Africa,Marco Jansen,7,0,54,2,7.714
10,South Africa vs Australia,South Africa,Kagiso Rabada,8,1,33,3,4.125
10,South Africa vs Australia,South Africa,Keshav Maharaj,10,0,30,2,3
10,South Africa vs Australia,South Africa,Tabraiz Shamsi,7.5,0,38,2,4.851
11,Bangladesh vs New Zealand,New Zealand,Trent Boult,10,0,45,2,4.5
11,Bangladesh vs New Zealand,New Zealand,Matt Henry,10,0,58,2,5.8
11,Bangladesh vs New Zealand,New Zealand,Lockie Ferguson,10,0,49,3,4.9
11,Bangladesh vs New Zealand,New Zealand,Mitchell Santner,10,1,31,1,3.1
11,Bangladesh vs New Zealand,New Zealand,Glenn Phillips,2,0,13,1,6.5
11,Bangladesh vs New Zealand,New Zealand,Rachin Ravindra,7,0,37,0,5.286
11,Bangladesh vs New Zealand,New Zealand,Daryl Mitchell,1,0,11,0,11
11,Bangladesh vs New Zealand,Bangladesh,Mustafizur Rahman,8,0,36,1,4.5
11,Bangladesh vs New Zealand,Bangladesh,Shoriful Islam,7.5,1,43,0,5.489
11,Bangladesh vs New Zealand,Bangladesh,Taskin Ahmed,8,0,56,0,7
11,Bangladesh vs New Zealand,Bangladesh,Shakib Al Hasan,10,0,54,1,5.4
11,Bangladesh vs New Zealand,Bangladesh,Mehidy Hasan Miraz,9,0,58,0,6.444
12,Pakistan vs India,India,Jasprit Bumrah,7,1,19,2,2.71
12,Pakistan vs India,India,Mohammed Siraj,8,0,50,2,6.25
12,Pakistan vs India,India,Hardik Pandya,6,0,34,2,5.67
12,Pakistan vs India,India,Kuldeep Yadav,10,0,35,2,3.5
12,Pakistan vs India,India,Ravindra Jadeja,9.5,0,38,2,3.86
12,Pakistan vs India,India,Shardul Thakur,2,0,12,0,6
12,Pakistan vs India,Pakistan,Shaheen Afridi,6,0,36,2,6
12,Pakistan vs India,Pakistan,Hasan Ali,6,0,34,1,5.667
12,Pakistan vs India,Pakistan,Mohammad Nawaz,8.3,0,47,0,5.529
12,Pakistan vs India,Pakistan,Haris Rauf,6,0,43,0,7.167
12,Pakistan vs India,Pakistan,Shadab Khan,4,0,31,0,7.75
13,Afghanistan vs England,England,Chris Woakes,4,0,41,0,10.25
13,Afghanistan vs England,England,Reece Topley,8.5,1,52,1,5.887
13,Afghanistan vs England,England,Sam Curran,4,0,46,0,11.5
13,Afghanistan vs England,England,Adil Rashid,10,1,42,3,4.2
13,Afghanistan vs England,England,Mark Wood,9,0,50,2,5.556
13,Afghanistan vs England,England,Liam Livingstone,10,0,33,1,3.3
13,Afghanistan vs England,England,Joe Root,4,0,19,1,4.75
13,Afghanistan vs England,Afghanistan,Mujeeb Ur Rahman,10,1,51,3,5.1
13,Afghanistan vs England,Afghanistan,Fazalhaq Farooqi,7,0,50,1,7.143
13,Afghanistan vs England,Afghanistan,Naveen-ul-Haq,6,1,44,1,7.333
13,Afghanistan vs England,Afghanistan,Mohammad Nabi,6,0,16,2,2.667
13,Afghanistan vs England,Afghanistan,Rashid Khan,9.3,1,37,3,3.895
13,Afghanistan vs England,Afghanistan,Azmatullah Omarzai,2,0,13,0,6.5
14,Sri Lanka vs Australia,Australia,Mitchell Starc,10,0,43,2,4.3
14,Sri Lanka vs Australia,Australia,Josh Hazlewood,7,1,36,0,5.143
14,Sri Lanka vs Australia,Australia,Pat Cummins,7,0,32,2,4.571
14,Sri Lanka vs Australia,Australia,Glenn Maxwell,9.3,0,36,1,3.789
14,Sri Lanka vs Australia,Australia,Adam Zampa,8,1,47,4,5.875
14,Sri Lanka vs Australia,Australia,Marcus Stoinis,2,0,11,0,5.5
14,Sri Lanka vs Australia,Sri Lanka,Lahiru Kumara,4,0,47,0,11.75
14,Sri Lanka vs Australia,Sri Lanka,Dilshan Madushanka,9,2,38,3,4.222
14,Sri Lanka vs Australia,Sri Lanka,Maheesh Theekshana,7,0,49,0,7
14,Sri Lanka vs Australia,Sri Lanka,Dunith Wellalage,9.2,0,53,1,5.679
14,Sri Lanka vs Australia,Sri Lanka,Chamika Karunaratne,3,0,15,0,5
14,Sri Lanka vs Australia,Sri Lanka,Dhananjaya de Silva,3,0,13,0,4.333
15,Netherlands vs South Africa,South Africa,Lungi Ngidi,9,1,57,2,6.333
15,Netherlands vs South Africa,South Africa,Marco Jansen,8,1,27,2,3.375
15,Netherlands vs South Africa,South Africa,Kagiso Rabada,9,1,56,2,6.222
15,Netherlands vs South Africa,South Africa,Gerald Coetzee,8,0,57,1,7.125
15,Netherlands vs South Africa,South Africa,Keshav Maharaj,9,0,38,1,4.222
15,Netherlands vs South Africa,Netherlands,Aryan Dutt,5,1,19,0,3.8
15,Netherlands vs South Africa,Netherlands,Logan van Beek,8.5,0,60,3,6.792
15,Netherlands vs South Africa,Netherlands,Colin Ackermann,3,0,16,1,5.333
15,Netherlands vs South Africa,Netherlands,Paul van Meekeren,9,0,40,2,4.444
15,Netherlands vs South Africa,Netherlands,Roelof van der Merwe,9,0,34,2,3.778
15,Netherlands vs South Africa,Netherlands,Bas de Leede,8,0,36,2,4.5
16,New Zealand vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,10,0,57,1,5.7
16,New Zealand vs Afghanistan,Afghanistan,Fazalhaq Farooqi,7,1,39,0,5.571
16,New Zealand vs Afghanistan,Afghanistan,Naveen-ul-Haq,8,0,48,2,6
16,New Zealand vs Afghanistan,Afghanistan,Mohammad Nabi,8,1,41,0,5.125
16,New Zealand vs Afghanistan,Afghanistan,Rashid Khan,10,0,43,1,4.3
16,New Zealand vs Afghanistan,Afghanistan,Azmatullah Omarzai,7,0,56,2,8
16,New Zealand vs Afghanistan,New Zealand,Trent Boult,7,1,18,2,2.571
16,New Zealand vs Afghanistan,New Zealand,Matt Henry,5,2,16,1,3.2
16,New Zealand vs Afghanistan,New Zealand,Mitchell Santner,7.4,0,39,3,5.087
16,New Zealand vs Afghanistan,New Zealand,Lockie Ferguson,7,1,19,3,2.714
16,New Zealand vs Afghanistan,New Zealand,Glenn Phillips,3,0,13,0,4.333
16,New Zealand vs Afghanistan,New Zealand,Rachin Ravindra,5,0,34,1,6.8
17,Bangladesh vs India,India,Jasprit Bumrah,10,1,41,2,4.1
17,Bangladesh vs India,India,Mohammed Siraj,10,0,60,2,6
17,Bangladesh vs India,India,Hardik Pandya,0.3,0,8,0,16
17,Bangladesh vs India,India,Virat Kohli,0.3,0,2,0,4
17,Bangladesh vs India,India,Shardul Thakur,9,0,59,1,6.556
17,Bangladesh vs India,India,Kuldeep Yadav,10,0,47,1,4.7
17,Bangladesh vs India,India,Ravindra Jadeja,10,0,38,2,3.8
17,Bangladesh vs India,Bangladesh,Shoriful Islam,8,0,54,0,6.75
17,Bangladesh vs India,Bangladesh,Mustafizur Rahman,5,0,29,0,5.8
17,Bangladesh vs India,Bangladesh,Nasum Ahmed,9.3,0,60,0,6.316
17,Bangladesh vs India,Bangladesh,Hasan Mahmud,8,0,65,1,8.125
17,Bangladesh vs India,Bangladesh,Mehidy Hasan Miraz,10,0,47,2,4.7
17,Bangladesh vs India,Bangladesh,Mahmudullah,1,0,6,0,6
18,Australia vs Pakistan,Pakistan,Shaheen Afridi,10,1,54,5,5.4
18,Australia vs Pakistan,Pakistan,Hasan Ali,8,0,57,0,7.125
18,Australia vs Pakistan,Pakistan,Iftikhar Ahmed,8,0,37,0,4.625
18,Australia vs Pakistan,Pakistan,Haris Rauf,8,0,83,3,10.375
18,Australia vs Pakistan,Pakistan,Usama Mir,9,0,82,1,9.111
18,Australia vs Pakistan,Pakistan,Mohammad Nawaz,7,0,43,0,6.143
18,Australia vs Pakistan,Australia,Mitchell Starc,8,0,65,1,8.125
18,Australia vs Pakistan,Australia,Josh Hazlewood,10,1,37,1,3.7
18,Australia vs Pakistan,Australia,Pat Cummins,7.3,0,62,2,8.267
18,Australia vs Pakistan,Australia,Adam Zampa,10,0,53,4,5.3
18,Australia vs Pakistan,Australia,Glenn Maxwell,5,0,40,0,8
18,Australia vs Pakistan,Australia,Marcus Stoinis,5,0,40,2,8
19,Netherlands vs Sri Lanka,Sri Lanka,Dilshan Madushanka,9.4,1,49,4,5.069
19,Netherlands vs Sri Lanka,Sri Lanka,Kasun Rajitha,9,0,50,4,5.556
19,Netherlands vs Sri Lanka,Sri Lanka,Chamika Karunaratne,9,1,58,0,6.444
19,Netherlands vs Sri Lanka,Sri Lanka,Maheesh Theekshana,10,0,44,1,4.4
19,Netherlands vs Sri Lanka,Sri Lanka,Dushan Hemantha,8,0,42,0,5.25
19,Netherlands vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,4,0,13,0,3.25
19,Netherlands vs Sri Lanka,Netherlands,Aryan Dutt,10,0,44,3,4.4
19,Netherlands vs Sri Lanka,Netherlands,Logan van Beek,10,0,57,0,5.7
19,Netherlands vs Sri Lanka,Netherlands,Paul van Meekeren,8,1,39,1,4.875
19,Netherlands vs Sri Lanka,Netherlands,Bas de Leede,3,0,29,0,9.667
19,Netherlands vs Sri Lanka,Netherlands,Roelof van der Merwe,9,0,42,0,4.667
19,Netherlands vs Sri Lanka,Netherlands,Colin Ackermann,8.2,0,39,1,4.68
20,South Africa vs England,England,Reece Topley,8.5,0,88,3,9.962
20,South Africa vs England,England,David Willey,9,1,61,0,6.778
20,South Africa vs England,England,Joe Root,6.1,0,48,0,7.784
20,South Africa vs England,England,Gus Atkinson,9,0,60,2,6.667
20,South Africa vs England,England,Mark Wood,7,0,76,0,10.857
20,South Africa vs England,England,Adil Rashid,10,0,61,2,6.1
20,South Africa vs England,South Africa,Lungi Ngidi,5,1,26,2,5.2
20,South Africa vs England,South Africa,Marco Jansen,5,0,35,2,7
20,South Africa vs England,South Africa,Kagiso Rabada,6,1,38,1,6.333
20,South Africa vs England,South Africa,Gerald Coetzee,4,0,35,3,8.75
20,South Africa vs England,South Africa,Keshav Maharaj,2,0,27,1,13.5
21,New Zealand vs India,India,Jasprit Bumrah,10,1,45,1,4.5
21,New Zealand vs India,India,Mohammed Siraj,10,1,45,1,4.5
21,New Zealand vs India,India,Mohammed Shami,10,0,54,5,5.4
21,New Zealand vs India,India,Ravindra Jadeja,10,0,48,0,4.8
21,New Zealand vs India,India,Kuldeep Yadav,10,0,73,2,7.3
21,New Zealand vs India,New Zealand,Trent Boult,10,0,60,1,6
21,New Zealand vs India,New Zealand,Matt Henry,9,0,55,1,6.111
21,New Zealand vs India,New Zealand,Mitchell Santner,10,0,37,1,3.7
21,New Zealand vs India,New Zealand,Lockie Ferguson,8,0,63,2,7.875
21,New Zealand vs India,New Zealand,Rachin Ravindra,9,0,46,0,5.111
21,New Zealand vs India,New Zealand,Glenn Phillips,2,0,12,0,6
22,Pakistan vs Afghanistan,Afghanistan,Naveen-ul-Haq,7,0,52,2,7.429
22,Pakistan vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,8,0,55,0,6.875
22,Pakistan vs Afghanistan,Afghanistan,Mohammad Nabi,10,0,31,1,3.1
22,Pakistan vs Afghanistan,Afghanistan,Azmatullah Omarzai,5,0,50,1,10
22,Pakistan vs Afghanistan,Afghanistan,Rashid Khan,10,0,41,0,4.1
22,Pakistan vs Afghanistan,Afghanistan,Noor Ahmad,10,0,49,3,4.9
22,Pakistan vs Afghanistan,Pakistan,Shaheen Afridi,10,0,58,1,5.8
22,Pakistan vs Afghanistan,Pakistan,Hasan Ali,10,1,44,1,4.4
22,Pakistan vs Afghanistan,Pakistan,Haris Rauf,8,1,53,0,6.625
22,Pakistan vs Afghanistan,Pakistan,Usama Mir,8,0,55,0,6.875
22,Pakistan vs Afghanistan,Pakistan,Shadab Khan,8,0,49,0,6.125
22,Pakistan vs Afghanistan,Pakistan,Iftikhar Ahmed,5,0,27,0,5.4
23,South Africa vs Bangladesh,Bangladesh,Mustafizur Rahman,9,0,76,0,8.444
23,South Africa vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,9,0,44,1,4.889
23,South Africa vs Bangladesh,Bangladesh,Shoriful Islam,9,0,76,1,8.444
23,South Africa vs Bangladesh,Bangladesh,Shakib Al Hasan,9,0,69,1,7.667
23,South Africa vs Bangladesh,Bangladesh,Hasan Mahmud,6,0,67,2,11.167
23,South Africa vs Bangladesh,Bangladesh,Nasum Ahmed,5,0,27,0,5.4
23,South Africa vs Bangladesh,Bangladesh,Mahmudullah,3,0,20,0,6.667
23,South Africa vs Bangladesh,South Africa,Marco Jansen,8,0,39,2,4.875
23,South Africa vs Bangladesh,South Africa,Lizaad Williams,8.4,1,56,2,6.462
23,South Africa vs Bangladesh,South Africa,Gerald Coetzee,10,0,62,3,6.2
23,South Africa vs Bangladesh,South Africa,Kagiso Rabada,10,1,42,2,4.2
23,South Africa vs Bangladesh,South Africa,Keshav Maharaj,10,0,32,1,3.2
24,Australia vs Netherlands,Netherlands,Aryan Dutt,7,0,59,1,8.429
24,Australia vs Netherlands,Netherlands,Colin Ackermann,4,0,19,0,4.75
24,Australia vs Netherlands,Netherlands,Logan van Beek,10,0,74,4,7.4
24,Australia vs Netherlands,Netherlands,Paul van Meekeren,10,0,64,0,6.4
24,Australia vs Netherlands,Netherlands,Vikramjit Singh,4,0,27,0,6.75
24,Australia vs Netherlands,Netherlands,Roelof van der Merwe,5,0,41,0,8.2
24,Australia vs Netherlands,Netherlands,Bas de Leede,10,0,115,2,11.5
24,Australia vs Netherlands,Australia,Mitchell Starc,4,0,22,1,5.5
24,Australia vs Netherlands,Australia,Josh Hazlewood,6,0,27,1,4.5
24,Australia vs Netherlands,Australia,Pat Cummins,4,0,14,1,3.5
24,Australia vs Netherlands,Australia,Mitchell Marsh,4,0,19,2,4.75
24,Australia vs Netherlands,Australia,Adam Zampa,3,0,8,4,2.667
25,England vs Sri Lanka,Sri Lanka,Dilshan Madushanka,5,0,37,0,7.4
25,England vs Sri Lanka,Sri Lanka,Kasun Rajitha,7,0,36,2,5.143
25,England vs Sri Lanka,Sri Lanka,Maheesh Theekshana,8.2,1,21,1,2.52
25,England vs Sri Lanka,Sri Lanka,Angelo Mathews,5,1,14,2,2.8
25,England vs Sri Lanka,Sri Lanka,Lahiru Kumara,7,0,35,3,5
25,England vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,1,0,10,0,10
25,England vs Sri Lanka,England,Chris Woakes,6,0,30,0,5
25,England vs Sri Lanka,England,David Willey,5,0,30,2,6
25,England vs Sri Lanka,England,Adil Rashid,4.4,0,39,0,8.357
25,England vs Sri Lanka,England,Mark Wood,4,0,23,0,5.75
25,England vs Sri Lanka,England,Liam Livingstone,3,0,17,0,5.667
25,England vs Sri Lanka,England,Moeen Ali,3,0,21,0,7
26,Pakistan vs South Africa,South Africa,Marco Jansen,9,1,43,3,4.78
26,Pakistan vs South Africa,South Africa,Lungi Ngidi,7.4,0,45,1,5.87
26,Pakistan vs South Africa,South Africa,Aiden Markram,4,0,20,0,5
26,Pakistan vs South Africa,South Africa,Keshav Maharaj,9,0,56,0,6.22
26,Pakistan vs South Africa,South Africa,Gerald Coetzee,7,0,42,2,6
26,Pakistan vs South Africa,South Africa,Tabraiz Shamsi,10,0,60,4,6
26,Pakistan vs South Africa,Pakistan,Iftikhar Ahmed,3,0,23,0,7.667
26,Pakistan vs South Africa,Pakistan,Shaheen Afridi,10,0,45,3,4.5
26,Pakistan vs South Africa,Pakistan,Mohammad Nawaz,6.2,0,40,0,6.316
26,Pakistan vs South Africa,Pakistan,Haris Rauf,10,0,62,2,6.2
26,Pakistan vs South Africa,Pakistan,Mohammad Wasim Jr,10,1,50,2,5
26,Pakistan vs South Africa,Pakistan,Usama Mir,8,0,45,2,5.625
27,Australia vs New Zealand,New Zealand,Matt Henry,6.2,0,67,1,10.58
27,Australia vs New Zealand,New Zealand,Trent Boult,10,0,77,3,7.7
27,Australia vs New Zealand,New Zealand,Lockie Ferguson,3,0,38,0,12.67
27,Australia vs New Zealand,New Zealand,Mitchell Santner,10,0,80,2,8
27,Australia vs New Zealand,New Zealand,Glenn Phillips,10,0,37,3,3.7
27,Australia vs New Zealand,New Zealand,Rachin Ravindra,8,0,56,0,7
27,Australia vs New Zealand,New Zealand,Jimmy Neesham,2,0,32,1,16
27,Australia vs New Zealand,Australia,Mitchell Starc,9,0,89,0,9.889
27,Australia vs New Zealand,Australia,Josh Hazlewood,9,0,70,2,7.778
27,Australia vs New Zealand,Australia,Pat Cummins,10,0,66,2,6.6
27,Australia vs New Zealand,Australia,Glenn Maxwell,10,0,62,1,6.2
27,Australia vs New Zealand,Australia,Adam Zampa,10,0,74,3,7.4
27,Australia vs New Zealand,Australia,Mitchell Marsh,2,0,18,0,9
28,Netherlands vs Bangladesh,Bangladesh,Shoriful Islam,10,0,51,2,5.1
28,Netherlands vs Bangladesh,Bangladesh,Taskin Ahmed,9,1,43,2,4.78
28,Netherlands vs Bangladesh,Bangladesh,Shakib Al Hasan,10,1,37,1,3.7
28,Netherlands vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,4,0,17,0,4.25
28,Netherlands vs Bangladesh,Bangladesh,Mustafizur Rahman,10,1,36,2,3.6
28,Netherlands vs Bangladesh,Bangladesh,Mahedi Hasan,7,0,40,2,5.71
28,Netherlands vs Bangladesh,Netherlands,Aryan Dutt,10,3,26,1,2.6
28,Netherlands vs Bangladesh,Netherlands,Logan van Beek,9,1,30,1,3.333
28,Netherlands vs Bangladesh,Netherlands,Colin Ackermann,7,1,25,1,3.571
28,Netherlands vs Bangladesh,Netherlands,Paul van Meekeren,7.2,0,23,4,3.136
28,Netherlands vs Bangladesh,Netherlands,Bas de Leede,7,0,25,2,3.571
28,Netherlands vs Bangladesh,Netherlands,Shariz Ahmad,2,0,13,0,6.5
29,India vs England,England,David Willey,10,2,45,3,4.5
29,India vs England,England,Chris Woakes,9,1,33,2,3.67
29,India vs England,England,Adil Rashid,10,0,35,2,3.5
29,India vs England,England,Mark Wood,9,1,46,1,5.11
29,India vs England,England,Liam Livingstone,4,1,29,0,7.25
29,India vs England,England,Moeen Ali,8,0,37,0,4.63
